code,distillery,region,country,status,is_closed
156,Glasgow Distillery,Lowland,Scotland,operational,False
157,Armorik,France,France,operational,False
158,Yuza,Japan,Japan,operational,False
159,Mars Shinshu,Japan,Japan,operational,False
160,Mars Tsunuki,Japan,Japan,operational,False
161,Nc'Nean,Highland,Scotland,operational,False
162,Isle of Raasay,Highland,Scotland,operational,False
163,Isle of Harris,Highland,Scotland,operational,False
164,Penderyn (double distilled),Wales,Wales,operational,False
165,Wolfburn (Peated),Highland,Scotland,operational,False
G1,North British,Lowland,Scotland,operational,False
G2,Carsebridge,Lowland,Scotland,closed,True
G3,Caledonian,Lowland,Scotland,closed,True
G4,Cameronbridge,Lowland,Scotland,operational,False
G5,Invergordon,Highland,Scotland,operational,False
G6,Port Dundas,Lowland,Scotland,closed,True
G7,Girvan,Lowland,Scotland,operational,False
G8,Cambus,Lowland,Scotland,closed,True
G9,Loch Lomond,Highland,Scotland,operational,False
G10,Strathclyde,Lowland,Scotland,operational,False
G11,Nikka Coffey Grain,Japan,Japan,operational,False
G12,Nikka Coffey Malt,Japan,Japan,operational,False
G13,Chita,Japan,Japan,operational,False
G14,Dumbarton,Lowland,Scotland,closed,True
G15,Rhosdhu (Loch Lomond),Highland,Scotland,operational,False
G16,Glasgow Distillery,Lowland,Scotland,operational,False
B1,Heaven Hill,Kentucky,USA,operational,False
B2,New Bernheim,Kentucky,USA,operational,False
B3,Rock Town,Arkansas,USA,operational,False
B4,FEW Spirits,Illinois,USA,operational,False
B5,George Dickel,Tennessee,USA,operational,False
B6,Finger Lakes Distilling,New York,USA,operational,False
B7,MGP,Indiana,USA,operational,False
B8,Woodinville,Washington,USA,operational,False
RW1,FEW Spirits (Rye),Illinois,USA,operational,False
RW2,Finger Lakes Distilling (Rye),New York,USA,operational,False
RW3,New York Distilling,New York,USA,operational,False
RW4,Peerless,Kentucky,USA,operational,False
RW5,MGP (Rye),Indiana,USA,operational,False
RW6,Kyro,Finland,Finland,operational,False
RW7,Journeyman,Michigan,USA,operational,False
CW1,Heaven Hill (Corn),Kentucky,USA,operational,False
CW2,Balcones (Corn),Texas,USA,operational,False
R1,Monymusk,Jamaica,Jamaica,operational,False
R2,El Dorado,Guyana,Guyana,operational,False
R3,West Indies Rum,Barbados,Barbados,operational,False
R4,Angostura,Trinidad,Trinidad,operational,False
R5,Long Pond,Jamaica,Jamaica,operational,False
R6,Foursquare,Barbados,Barbados,operational,False
R7,Hampden,Jamaica,Jamaica,operational,False
R8,Flor de Cana,Nicaragua,Nicaragua,operational,False
R9,Ron Abuelo,Panama,Panama,operational,False
R10,Trinidad Distillers,Trinidad,Trinidad,operational,False
R11,Worthy Park,Jamaica,Jamaica,operational,False
R12,Travellers,Belize,Belize,operational,False
R13,Caroni,Trinidad,Trinidad,closed,True
R14,Uitvlugt,Guyana,Guyana,operational,False
